Sparsity,conv1.0,features.0.0,features.0.3,features.1.0,features.1.3,features.2.0,features.2.3,features.3.0,features.3.3,features.4.0,features.4.3,features.5.0,features.5.3,features.6.0,features.6.3,features.7.0,features.7.3,features.8.0,features.8.3,features.9.0,features.9.3,features.10.0,features.10.3,features.11.0,features.11.3,features.12.0,features.12.3,classifier.0
0.5,0.7500,0.7500,0.9219,0.6875,0.9292,0.7734,0.9416,0.7422,0.9366,0.7539,0.9317,0.7227,0.9274,0.7383,0.9361,0.7559,0.9413,0.7598,0.9437,0.7656,0.9391,0.7402,0.9401,0.7695,0.9392,0.7363,0.8682,0.5000
0.6,0.7812,0.7812,0.9590,0.8125,0.9780,0.8828,0.9789,0.8203,0.9698,0.8320,0.9705,0.8242,0.9670,0.8125,0.9703,0.8418,0.9759,0.8477,0.9774,0.8516,0.9751,0.8320,0.9764,0.8594,0.9758,0.8281,0.9312,0.6000
0.7,0.8438,0.8438,0.9854,0.9062,0.9934,0.9297,0.9945,0.9219,0.9927,0.9062,0.9916,0.9102,0.9907,0.8965,0.9917,0.9199,0.9928,0.9102,0.9914,0.9043,0.9895,0.8906,0.9908,0.9160,0.9921,0.9062,0.9718,0.7000
0.8,0.9688,0.9688,0.9990,0.9688,0.9985,0.9531,0.9989,0.9766,0.9988,0.9492,0.9976,0.9531,0.9980,0.9570,0.9982,0.9570,0.9983,0.9609,0.9982,0.9531,0.9978,0.9531,0.9980,0.9570,0.9982,0.9590,0.9918,0.8000
0.9,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.95,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
